name,link,salary,employer,address
Инженер отдела транспортного обеспечения,https://spb.hh.ru/vacancy/66108653,"{'min': 82000, 'max': None, 'cur': 'руб.'}",KONSIERGE,Когалым
Инженер-электроник (эксперт),https://spb.hh.ru/vacancy/55347088,"{'min': 110000, 'max': None, 'cur': 'руб.'}",BAT Russia,Санкт-Петербург
Младший инженер по электронному оборудованию и программному обеспечению,https://spb.hh.ru/vacancy/66125433,"{'min': None, 'max': None, 'cur': None}",АО Uzauto Motors Powertrain,Ташкент
Инженер-конструктор,https://spb.hh.ru/vacancy/66072788,"{'min': 200000, 'max': None, 'cur': 'руб.'}",ТОО ПЗМК - Имсталькон,Павлодар
Инженер по работоспособности АСУТ и МТ,https://spb.hh.ru/vacancy/66075374,"{'min': None, 'max': None, 'cur': None}",ТОО Business and Technology Services,Аксу (Павлодар.обл)
Инженер ВК,https://spb.hh.ru/vacancy/66061688,"{'min': 85000, 'max': 120000, 'cur': 'руб.'}",ООО ВОДАКОМ,Махачкала
Инженер-метролог (поверка СИ),https://spb.hh.ru/vacancy/66166653,"{'min': 65000, 'max': 150000, 'cur': 'руб.'}",ООО ЭнергоПромРесурс,Москва
Главный Инженер Проектов по системам безопасности,https://spb.hh.ru/vacancy/55260545,"{'min': 150000, 'max': 200000, 'cur': 'руб.'}",ООО Монолит Системз,"Москва, Ленинский проспект"
Инженер-конструктор,https://spb.hh.ru/vacancy/55903512,"{'min': 100000, 'max': 150000, 'cur': 'руб.'}",ООО Биопрактика,"Москва, Белорусская и еще 1 "
Pre-Sale инженер,https://spb.hh.ru/vacancy/47884778,"{'min': 500000, 'max': None, 'cur': 'KZT'}",ТОО Ruba Technology,Алматы
Инженер-проектировщик систем электроснабжения,https://spb.hh.ru/vacancy/66158539,"{'min': 90000, 'max': None, 'cur': 'руб.'}",Айсо-энерго,Москва
Инженер-конструктор,https://spb.hh.ru/vacancy/66138323,"{'min': 50000, 'max': 70000, 'cur': 'руб.'}",ООО Термотелеком,"Санкт-Петербург, Волковская"
Инженер ПТО,https://spb.hh.ru/vacancy/55880532,"{'min': 140000, 'max': 170000, 'cur': 'руб.'}",ООО СК Атлант,Красноярск
Инженер-проектировщик (ОВиК в загородных домах),https://spb.hh.ru/vacancy/66068745,"{'min': None, 'max': 110000, 'cur': 'руб.'}",ООО Арктур,"Москва, Речной вокзал"
Главный инженер проекта - производство каркасно-панельных домов,https://spb.hh.ru/vacancy/54899654,"{'min': 180000, 'max': 180000, 'cur': 'руб.'}",Вагнер Евгений Андреевич,Москва
Главный специалист-технолог по процессам нефтепереработки и газопереработки,https://spb.hh.ru/vacancy/66125567,"{'min': None, 'max': None, 'cur': None}",ООО ENTER Engineering Pte. LTD,Ташкент
Главный инженер проекта (Ташкент),https://spb.hh.ru/vacancy/47982364,"{'min': None, 'max': None, 'cur': None}",ООО Golden House,Нур-Султан
Инженер АСУТП,https://spb.hh.ru/vacancy/55892178,"{'min': None, 'max': None, 'cur': None}",ТОО Business and Technology Services,Нур-Султан
Инженер-конструктор,https://spb.hh.ru/vacancy/55901646,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО Плант,Ижевск
Главный инженер проекта,https://spb.hh.ru/vacancy/54517203,"{'min': None, 'max': None, 'cur': None}",ООО Golden House,Ташкент
SRE инженер I Инженер доступности,https://spb.hh.ru/vacancy/55584924,"{'min': 350000, 'max': 550000, 'cur': 'руб.'}",HR Prime,Москва
Инженер по метрологии,https://spb.hh.ru/vacancy/66094954,"{'min': 113500, 'max': 113500, 'cur': 'руб.'}",АО Нефтеавтоматика,Уфа
Инженер АСУ ТП (Техобслуживание),https://spb.hh.ru/vacancy/55583393,"{'min': 210000, 'max': None, 'cur': 'руб.'}","Инсист Автоматика,ООО",Омск
Инженер по технической диагностике на объектах Транснефти,https://spb.hh.ru/vacancy/66167789,"{'min': 100000, 'max': None, 'cur': 'руб.'}","Шешмаойл, УК",Альметьевск
Инженер ПТО,https://spb.hh.ru/vacancy/55202532,"{'min': 120000, 'max': 150000, 'cur': 'руб.'}",ООО Нефтегазстрой,Тюмень
Инженер-технолог,https://spb.hh.ru/vacancy/66168014,"{'min': 100000, 'max': None, 'cur': 'руб.'}","Шешмаойл, УК",Лениногорск
Инженер-конструктор / Инженер-проектировщик,https://spb.hh.ru/vacancy/66088438,"{'min': 90000, 'max': 110000, 'cur': 'руб.'}",ООО Хёгер,Санкт-Петербург
Инженер-технолог,https://spb.hh.ru/vacancy/55592084,"{'min': 100000, 'max': 130000, 'cur': 'руб.'}",ООО А-Телематика,Москва
Инженер-проектировщик,https://spb.hh.ru/vacancy/55851537,"{'min': 130000, 'max': 170000, 'cur': 'руб.'}",ЗАО НОРСИ-ТРАНС,"Москва, Савёловская"
Инженер-конструктор,https://spb.hh.ru/vacancy/66109967,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО Полировальные системы,"Санкт-Петербург, Василеостровская"
Инженер ПТО,https://spb.hh.ru/vacancy/66124852,"{'min': 130000, 'max': 130000, 'cur': 'руб.'}",ООО СК Бастион,Красноярск
Инженер ПТО,https://spb.hh.ru/vacancy/52231511,"{'min': 100000, 'max': 133000, 'cur': 'руб.'}",ООО Идеалстройинвест Уфа,Уфа
Инженер по работе с проектами,https://spb.hh.ru/vacancy/54549139,"{'min': 130000, 'max': None, 'cur': 'руб.'}",ООО Белый свет 2000,"Москва, Войковская и еще 1 "
Главный инженер,https://spb.hh.ru/vacancy/66131172,"{'min': 150000, 'max': None, 'cur': 'руб.'}",АО АнРуссТранс,Воронеж
Инженер-конструктор,https://spb.hh.ru/vacancy/55134239,"{'min': 50000, 'max': None, 'cur': 'руб.'}",ООО Ростехэнерго,Ростов-на-Дону
Инженер-проектировщик (начинающий специалист),https://spb.hh.ru/vacancy/55372666,"{'min': 60000, 'max': None, 'cur': 'руб.'}",ООО Техно инжиниринг,"Москва, Фили и еще 1 "
Инженер АСУ ТП,https://spb.hh.ru/vacancy/66128179,"{'min': None, 'max': 150000, 'cur': 'руб.'}",ООО ВЭПС,Санкт-Петербург
Главный инженер Управления эксплуатацией,https://spb.hh.ru/vacancy/55563476,"{'min': 250000, 'max': 250000, 'cur': 'руб.'}",ООО УПРАВЛЕНИЕ НЕДВИЖИМОСТЬЮ,Москва
Инженер/менеджер,https://spb.hh.ru/vacancy/50039590,"{'min': 100000, 'max': 150000, 'cur': 'руб.'}",ООО СЗРК,Санкт-Петербург
Инженер-электроник / Сервисный инженер,https://spb.hh.ru/vacancy/66061659,"{'min': 80000, 'max': 120000, 'cur': 'руб.'}",ООО Первый ампер,Новосибирск
Инженер,https://spb.hh.ru/vacancy/55897423,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО Клин Сити,Москва
Инженер по технической диагностике на объектах Транснефти,https://spb.hh.ru/vacancy/66167787,"{'min': 100000, 'max': None, 'cur': 'руб.'}","Шешмаойл, УК",Казань
Инженер по расчетам,https://spb.hh.ru/vacancy/55412565,"{'min': 60000, 'max': 100000, 'cur': 'руб.'}",ООО Е8,Тула
"Инженер-конструктор, проектировщик",https://spb.hh.ru/vacancy/55434605,"{'min': 120000, 'max': 140000, 'cur': 'руб.'}",ООО ЕИМ инжениринг,Санкт-Петербург
Ведущий инженер по автоматизации,https://spb.hh.ru/vacancy/55457928,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО Пневмакс,Москва
Инженер,https://spb.hh.ru/vacancy/55851975,"{'min': 75000, 'max': None, 'cur': 'руб.'}",АО Хакель,Санкт-Петербург
Инженер-диагност,https://spb.hh.ru/vacancy/66126795,"{'min': None, 'max': 150000, 'cur': 'руб.'}",ООО Умные Устройства,Москва
Главный инженер,https://spb.hh.ru/vacancy/55295523,"{'min': 100000, 'max': 150000, 'cur': 'руб.'}",АО ТРАНСКЕМИКЛ - экспресс,Коломна
Инженер,https://spb.hh.ru/vacancy/55895576,"{'min': 45000, 'max': None, 'cur': 'руб.'}",ООО Аспект,"Самара, Московская"
Ведущий инженер ПТО,https://spb.hh.ru/vacancy/55342522,"{'min': 130000, 'max': None, 'cur': 'руб.'}",ООО Сму-22,Москва
Инженер по наладке и испытаниям,https://spb.hh.ru/vacancy/55405484,"{'min': 150000, 'max': 200000, 'cur': 'руб.'}",Jobers,Новосибирск
Инженер-проектировщик систем информационной безопасности,https://spb.hh.ru/vacancy/55221624,"{'min': 200000, 'max': None, 'cur': 'руб.'}",АО Винтегра Секьюрити,Москва
Инженер-конструктор,https://spb.hh.ru/vacancy/66086039,"{'min': 100000, 'max': 120000, 'cur': 'руб.'}",Деталь Бизнеса,Москва
Инженер ПТО (Оренбургская обл.),https://spb.hh.ru/vacancy/66127431,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО РИВЕР ГРУП,Оренбург
Инженер ПТО,https://spb.hh.ru/vacancy/66073068,"{'min': 150000, 'max': 150000, 'cur': 'руб.'}",Green Flow Hotel Rosa Khutor,"Москва, Добрынинская"
Горный инженер,https://spb.hh.ru/vacancy/66135181,"{'min': 60000, 'max': 90000, 'cur': 'руб.'}",ООО ДОРТРАНССТРОЙ,Братск
Инженер,https://spb.hh.ru/vacancy/49061706,"{'min': 80000, 'max': 100000, 'cur': 'руб.'}",Связь инжиниринг М,"Москва, Варшавская"
Инженер по диагностике (по вращающемуся оборудованию),https://spb.hh.ru/vacancy/55442840,"{'min': 130000, 'max': None, 'cur': 'руб.'}",ООО ИТР,Санкт-Петербург
Инженер испытательной лаборатории (СОУТ),https://spb.hh.ru/vacancy/55839556,"{'min': None, 'max': None, 'cur': None}",ООО УЦ Профстандарт,Новосибирск
Техник - инженер (Начинающий специалист),https://spb.hh.ru/vacancy/66115600,"{'min': 50000, 'max': None, 'cur': 'руб.'}",ТехноГород,Ставрополь
Инженер,https://spb.hh.ru/vacancy/54427433,"{'min': 58000, 'max': None, 'cur': 'руб.'}",АО Фармация,Тюмень
Инженер (Китай),https://spb.hh.ru/vacancy/66106649,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО Восхождение,Новосибирск
Ведущий инженер проекта,https://spb.hh.ru/vacancy/54678959,"{'min': 120000, 'max': None, 'cur': 'руб.'}",Heurtey Petrochem Rus,Санкт-Петербург
Инженер ВиК,https://spb.hh.ru/vacancy/66168539,"{'min': 100000, 'max': 150000, 'cur': 'руб.'}",ООО Инженерные системы Эколайф,Москва
"Инженер по продажам преобразователей частоты, редукторов и мотор-редукторов",https://spb.hh.ru/vacancy/66098243,"{'min': 120000, 'max': None, 'cur': 'руб.'}",ООО Приводная механика,Москва
Инженер ПТО,https://spb.hh.ru/vacancy/47902490,"{'min': 120000, 'max': 250000, 'cur': 'руб.'}",Da Vinci,Москва
Инженер ПТО,https://spb.hh.ru/vacancy/54632088,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО УиС,"Москва, Дмитровская"
Инженер 1 категории,https://spb.hh.ru/vacancy/66143766,"{'min': 90000, 'max': None, 'cur': 'руб.'}",Группа промышленных компаний “Корпорация ТИРА”,"Санкт-Петербург, Василеостровская"
Инженер-дизайнер.,https://spb.hh.ru/vacancy/50706281,"{'min': 40000, 'max': 100000, 'cur': 'руб.'}",ООО Патриот,Воронеж
Инженер (Китай),https://spb.hh.ru/vacancy/66122333,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО Восхождение,Ульяновск
Главный инженер,https://spb.hh.ru/vacancy/66096740,"{'min': 140000, 'max': 140000, 'cur': 'руб.'}",ООО Агрофирма Золотая Балка,Севастополь
Инженер – специалист по пыле газоочистному оборудованию,https://spb.hh.ru/vacancy/55289971,"{'min': 110000, 'max': 160000, 'cur': 'руб.'}",ООО КонсалтПро,Москва
Инженер / радио-электронщик по обслуживанию медицинского оборудования,https://spb.hh.ru/vacancy/66127199,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО Перспектива,Якутск
Инженер-разработчик СУУТП,https://spb.hh.ru/vacancy/54693462,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО Т-Софт,"Санкт-Петербург, Московская"
Инженер по обследованию ЗиС,https://spb.hh.ru/vacancy/55387333,"{'min': 70000, 'max': None, 'cur': 'руб.'}",ООО АТЭ Паритет,Краснодар
Инженер контроля качества,https://spb.hh.ru/vacancy/66099219,"{'min': None, 'max': 99000, 'cur': 'руб.'}",ООО ПИК,Томск
Специалист по обследованию зданий и сооружений (инженер),https://spb.hh.ru/vacancy/55576874,"{'min': 85000, 'max': 130000, 'cur': 'руб.'}",ООО Инженерный центр СтройЭксперт,"Екатеринбург, Чкаловская"
Инженер по обследованию зданий,https://spb.hh.ru/vacancy/55844707,"{'min': 90000, 'max': 150000, 'cur': 'руб.'}",ООО Кей-Стафф,Санкт-Петербург
BIM координатор-инженер,https://spb.hh.ru/vacancy/54759884,"{'min': None, 'max': 140000, 'cur': 'руб.'}",ООО ЛИИС Инженерные Решения,Санкт-Петербург
Инженер по технической документации,https://spb.hh.ru/vacancy/66070407,"{'min': None, 'max': None, 'cur': None}",ООО РЕГАЗ,Нижний Новгород
Инженер ПТО,https://spb.hh.ru/vacancy/55856010,"{'min': 330000, 'max': 335000, 'cur': 'KZT'}",АО Экотон+,Нур-Султан
Инженер по ремонту майнинг оборудования,https://spb.hh.ru/vacancy/55514597,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО Центр Обработки Данных,Новосибирск
Инженер АСУ ТП / Инженер по автоматизации,https://spb.hh.ru/vacancy/54704199,"{'min': 110000, 'max': None, 'cur': 'руб.'}",ООО Юнифорс Инжиниринг,Москва
Инженер-конструктор,https://spb.hh.ru/vacancy/55428584,"{'min': 70000, 'max': 110000, 'cur': 'руб.'}",ООО Агровент-М,Подольск (Московская область)
Ведущий инженер-технолог,https://spb.hh.ru/vacancy/54693457,"{'min': 110000, 'max': None, 'cur': 'руб.'}",ООО Т-Софт,"Санкт-Петербург, Московская"
Заместитель главного инженера/главный энергетик,https://spb.hh.ru/vacancy/66085203,"{'min': 95000, 'max': 95000, 'cur': 'руб.'}",ООО Отель Вавельберг,Санкт-Петербург
Инженер-технолог (гальваника),https://spb.hh.ru/vacancy/55587256,"{'min': 80000, 'max': 150000, 'cur': 'руб.'}",ООО Бологовский Арматурный Завод,Нижний Новгород
Технико-коммерческий инженер/Инженер по подбору оборудования,https://spb.hh.ru/vacancy/66145712,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО Стройинжпроект,"Москва, Алтуфьево и еще 1 "
Стажер-инженер,https://spb.hh.ru/vacancy/66113079,"{'min': 40000, 'max': None, 'cur': 'руб.'}",Naturi,Москва
Инженер ОТ и ТБ,https://spb.hh.ru/vacancy/66124403,"{'min': 90000, 'max': 140000, 'cur': 'руб.'}",ООО РигВеда,Краснодар
Главный инженер/заместитель главного инженера,https://spb.hh.ru/vacancy/66073445,"{'min': 200000, 'max': 200000, 'cur': 'руб.'}",ООО Альянс,Санкт-Петербург
"Инженер по техническому обслуживанию, наладке и испытаниям котельных",https://spb.hh.ru/vacancy/66105770,"{'min': 80000, 'max': 120000, 'cur': 'руб.'}",ООО Политех Энерго,Санкт-Петербург
Сервисный инженер,https://spb.hh.ru/vacancy/66138407,"{'min': 70000, 'max': 250000, 'cur': 'руб.'}",ООО Открытые Технологии,Кемерово
Заместитель главного инженера,https://spb.hh.ru/vacancy/55895574,"{'min': 120000, 'max': 150000, 'cur': 'руб.'}",ООО Инфранова,Москва
ИТР - Инженер технических работ,https://spb.hh.ru/vacancy/55884334,"{'min': 80000, 'max': None, 'cur': 'руб.'}",ООО Гецельд и Гецельтен,Жуковский
Инженер проекта,https://spb.hh.ru/vacancy/50237756,"{'min': 85000, 'max': None, 'cur': 'руб.'}",ЗАО ТРЭМ Инжиниринг,Старая Купавна
Инженер-конструктор,https://spb.hh.ru/vacancy/55355194,"{'min': 90000, 'max': 110000, 'cur': 'руб.'}",ООО АРКАСИЛ СК,Москва
Ведущий инженер ПТО,https://spb.hh.ru/vacancy/55581056,"{'min': None, 'max': 140000, 'cur': 'руб.'}",Термосиб Плюс,Новосибирск
Инженер технического надзора,https://spb.hh.ru/vacancy/66067194,"{'min': 75000, 'max': None, 'cur': 'руб.'}",Девелоперская компания Создатели,Тюмень
Инженер-технолог,https://spb.hh.ru/vacancy/66168013,"{'min': 100000, 'max': None, 'cur': 'руб.'}","Шешмаойл, УК",Набережные Челны
Заместитель главного инженера,https://spb.hh.ru/vacancy/66104341,"{'min': 70000, 'max': None, 'cur': 'руб.'}",ПриволжскНИПИнефть,"Самара, Безымянка"
Ведущий специалист (Инженер),https://spb.hh.ru/vacancy/54687833,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО ССК ГАЗРЕГИОН,Екатеринбург
Инженер 1 категории Технологического отдела,https://spb.hh.ru/vacancy/66134804,"{'min': 60000, 'max': 70000, 'cur': 'руб.'}",АО Гипротрубопровод,Самара
Ведущий инженер-технолог,https://spb.hh.ru/vacancy/54887212,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО СБИ,"Москва, Марксистская и еще 2 "
Инженер SCADA / Дата-инженер,https://spb.hh.ru/vacancy/66106824,"{'min': 110000, 'max': None, 'cur': 'руб.'}",ООО ПГИ,"Москва, Баррикадная и еще 1 "
Инженер ПТО (Технологический трубопровод),https://spb.hh.ru/vacancy/66144943,"{'min': 100000, 'max': 115000, 'cur': 'руб.'}",ООО АЛЬФАВЕСТСТРОЙ,Воронеж
Помощник главного инженера проекта/ГИП,https://spb.hh.ru/vacancy/55567487,"{'min': 65000, 'max': None, 'cur': 'руб.'}",ООО НВС,Санкт-Петербург
Инженер-электронщик,https://spb.hh.ru/vacancy/54658263,"{'min': 80000, 'max': 120000, 'cur': 'руб.'}",ООО ИКС-Суппорт,Иркутск
Инженер ПТО,https://spb.hh.ru/vacancy/66105712,"{'min': 120000, 'max': None, 'cur': 'руб.'}",Альфа Хантер,Москва
